City,Clouds,Country,Humidity,Latitude,Longitude,"Temperature, imperial",Wind Speed MPH
Santa Rosa,9.17,AR,90,-36.62,-64.29,52.72,0
Miguel Auza,3.24,MX,39,24.29,-103.45,69.32,88
Moose Factory,8.05,CA,64,51.26,-80.61,35.6,90
Greenwood,2.35,US,69,34.2,-82.16,74.14,1
Neiafu,13.87,TO,74,-18.65,-173.98,80.6,40
Lagos,14.99,PT,50,37.1,-8.67,53.6,0
Gigmoto,6.04,PH,95,13.78,124.39,85.39,20
Atlantis,6.93,ZA,93,-33.57,18.5,57.2,0
San Vicente,7.16,PH,100,14.11,122.87,84.76,8
Aripuana,2.46,BR,68,-9.17,-60.63,83.05,48
Poum,10.51,NC,100,-20.23,164.02,75.04,100
Kautokeino,3.47,NO,100,69.01,23.04,41.15,88
Rocha,6.93,UY,91,-34.48,-54.34,49.12,0
Fereydun Kenar,4.7,IR,82,36.69,52.52,65.16,75
Ornskoldsvik,3.36,SE,93,63.29,18.72,43.97,0
Veraval,8.39,IN,88,20.9,70.37,83.86,0
Meadow Lake,10.74,CA,25,54.13,-108.44,69.91,0
Northam,8.05,AU,68,-31.65,116.67,71.6,32
Qeshm,9.17,IR,37,26.96,56.27,84.2,32
Ternate,4.7,ID,100,0.8,127.4,84.04,64
Maragogi,4.59,BR,95,-9.01,-35.22,76.34,92
La Ronge,12.75,CA,27,55.1,-105.3,73.4,90
Grafton,9.17,US,40,48.41,-97.41,57.27,1
Bowen,16.22,AU,100,-20.01,148.25,71.39,20
Klyuchi,13.65,RU,97,52.25,79.17,43.27,100
Houston,14.99,CA,32,54.4,-126.65,69.8,20
Lethem,12.08,GY,93,3.38,-59.8,75.13,64
Washington DC.,4.7,US,93,38.9,-77.04,69.82,1
Hokitika,15.43,NZ,100,-42.72,170.96,52.99,92
Sale,6.93,AU,86,-38.11,147.06,58.25,92
Yangjiang,6.49,CN,95,21.85,111.96,81.92,0
Kabakovo,6.71,RU,49,54.54,56.15,48.2,0
Nokaneng,3.36,BW,64,-19.66,22.19,61.4,36
Zyryanskoye,8.61,RU,69,56.83,86.62,49.21,24
Paamiut,26.84,GL,96,61.99,-49.67,33.64,68
Los Llanos de Aridane,19.46,ES,82,28.66,-17.92,64.4,0
Kurilsk,3.91,RU,78,45.23,147.88,49.52,48
